156,563.720,1229.206,609.000,373.000
157,503.720,1224.706,649.000,376.000
158,448.220,1212.706,686.000,384.000
159,401.720,1199.206,717.000,393.000
160,332.000,1258.000,741.000,401.000
161,321.000,1245.000,759.000,409.000
162,315.000,1238.000,768.000,414.000
163,314.000,1238.000,769.000,414.000
164,319.000,1242.000,763.000,412.000
165,327.000,1252.000,752.000,406.000
166,374.720,1191.706,735.000,398.000
167,409.220,1205.206,712.000,389.000
168,449.720,1217.206,685.000,381.000
169,497.720,1226.206,653.000,375.000
170,548.720,1232.206,619.000,371.000
171,599.720,1232.206,585.000,371.000
172,649.220,1227.706,552.000,374.000
173,692.720,1218.706,523.000,380.000
174,728.720,1208.206,499.000,387.000
175,791.000,1286.000,481.000,393.000
176,800.000,1277.000,469.000,398.000
177,804.000,1273.000,463.000,401.000
178,805.000,1273.000,463.000,401.000
179,801.000,1277.000,469.000,399.000
180,791.000,1283.000,481.000,395.000
181,730.220,1205.206,498.000,389.000
182,697.220,1214.206,520.000,383.000
183,658.220,1223.206,546.000,377.000
184,616.220,1229.206,574.000,373.000
185,572.720,1229.206,603.000,373.000
186,530.720,1227.706,631.000,374.000
187,490.220,1221.706,658.000,378.000
188,454.220,1215.706,682.000,382.000
189,425.720,1208.206,701.000,387.000
190,404.720,1200.706,715.000,392.000
191,392.720,1196.206,723.000,395.000
192,389.720,1194.706,725.000,396.000
193,392.720,1194.706,723.000,396.000
194,404.720,1199.206,715.000,393.000
195,422.720,1203.706,703.000,390.000
196,446.720,1211.206,687.000,385.000
197,476.720,1217.206,667.000,381.000
198,509.720,1220.206,645.000,379.000
199,545.720,1223.206,621.000,377.000
200,583.220,1223.206,596.000,377.000
201,616.220,1220.206,574.000,379.000
202,649.220,1215.706,552.000,382.000
203,676.220,1209.706,534.000,386.000
204,697.220,1203.706,520.000,390.000
205,710.720,1200.706,511.000,392.000
206,716.720,1197.706,507.000,394.000
207,715.220,1197.706,508.000,394.000
208,709.220,1199.206,512.000,393.000
209,697.220,1202.206,520.000,391.000
210,679.220,1205.206,532.000,389.000
211,656.720,1209.706,547.000,386.000
212,629.720,1212.706,565.000,384.000
213,601.220,1215.706,584.000,382.000
214,569.720,1215.706,605.000,382.000
215,541.220,1214.206,624.000,383.000
216,514.220,1212.706,642.000,384.000
217,491.720,1208.206,657.000,387.000
218,472.220,1205.206,670.000,389.000
219,460.220,1200.706,678.000,392.000
220,451.220,1197.706,684.000,394.000
221,451.220,1196.206,684.000,395.000
222,455.720,1196.206,681.000,395.000
223,464.720,1196.206,675.000,395.000
224,478.220,1199.206,666.000,393.000
225,494.720,1200.706,655.000,392.000
226,515.720,1203.706,641.000,390.000
227,538.220,1205.206,626.000,389.000
228,562.220,1205.206,610.000,389.000
229,586.220,1205.206,594.000,389.000
230,608.720,1203.706,579.000,390.000
231,629.720,1202.206,565.000,391.000
232,646.220,1199.206,554.000,393.000
233,659.720,1197.706,545.000,394.000
234,668.720,1196.206,539.000,395.000
235,673.220,1194.706,536.000,396.000
236,674.720,1193.206,535.000,397.000
237,670.220,1193.206,538.000,397.000
238,662.720,1194.706,543.000,396.000
239,652.220,1196.206,550.000,395.000
240,638.720,1196.206,559.000,395.000
241,622.220,1197.706,570.000,394.000
242,604.220,1197.706,582.000,394.000
243,586.220,1199.206,594.000,393.000
244,569.720,1197.706,605.000,394.000
245,553.220,1196.206,616.000,395.000
246,541.220,1196.206,624.000,395.000
247,530.720,1196.206,631.000,395.000
248,524.720,1194.706,635.000,396.000
249,520.220,1193.206,638.000,397.000
250,521.720,1193.206,637.000,397.000
251,524.720,1193.206,635.000,397.000
252,530.720,1193.206,631.000,397.000
253,541.220,1194.706,624.000,396.000
254,553.220,1196.206,616.000,395.000
255,565.220,1196.206,608.000,395.000
256,578.720,1196.206,599.000,395.000
257,592.220,1197.706,590.000,394.000
258,604.220,1197.706,582.000,394.000
259,616.220,1197.706,574.000,394.000
260,626.720,1197.706,567.000,394.000
261,635.720,1196.206,561.000,395.000
262,643.220,1196.206,556.000,395.000
263,646.220,1196.206,554.000,395.000
264,647.720,1196.206,553.000,395.000
265,646.220,1197.706,554.000,394.000
266,643.220,1197.706,556.000,394.000
267,638.720,1197.706,559.000,394.000
268,634.220,1199.206,562.000,393.000
269,626.720,1200.706,567.000,392.000
270,620.720,1200.706,571.000,392.000
271,611.720,1202.206,577.000,391.000
272,602.720,1202.206,583.000,391.000
273,596.720,1202.206,587.000,391.000
274,589.220,1203.706,592.000,390.000
275,584.720,1202.206,595.000,391.000
276,581.720,1202.206,597.000,391.000
277,578.720,1203.706,599.000,390.000
278,578.720,1203.706,599.000,390.000
279,578.720,1203.706,599.000,390.000
280,581.720,1205.206,597.000,389.000
281,583.220,1205.206,596.000,389.000
282,586.220,1205.206,594.000,389.000
283,590.720,1205.206,591.000,389.000
284,592.220,1206.706,590.000,388.000
285,596.720,1206.706,587.000,388.000
286,601.220,1208.206,584.000,387.000
287,604.220,1208.206,582.000,387.000
288,608.720,1206.706,579.000,388.000
289,611.720,1206.706,577.000,388.000
290,613.220,1206.706,576.000,388.000
291,613.220,1206.706,576.000,388.000
292,613.220,1208.206,576.000,387.000
293,611.720,1208.206,577.000,387.000
294,611.720,1208.206,577.000,387.000
295,610.220,1206.706,578.000,388.000
296,610.220,1206.706,578.000,388.000
297,610.220,1206.706,578.000,388.000
298,610.220,1206.706,578.000,388.000
299,607.220,1206.706,580.000,388.000
300,607.220,1206.706,580.000,388.000
301,607.220,1205.206,580.000,389.000
